Label	Theta	Phi	Radius	X	Y	Z
Nose	90.0	-33.75	1	0.0	0.8315	-0.5556
Nz	90.0	-22.5	1	0.0	0.9239	-0.3827
NFpz	90.0	-11.25	1	0.0	0.9808	-0.1951
Fpz	90.0	0.0	1	0.0	1.0	0.0
AFpz	90.0	11.25	1	0.0	0.9808	0.1951
AFz	90.0	22.5	1	0.0	0.9239	0.3827
AFFz	90.0	33.75	1	0.0	0.8315	0.5556
Fz	90.0	45.0	1	0.0	0.7071	0.7071
FFCz	90.0	56.25	1	0.0	0.5556	0.8315
FCz	90.0	67.5	1	0.0	0.3827	0.9239
FCCz	90.0	78.75	1	0.0	0.1951	0.9808
Cz	0.0	90.0	1	0.0	0.0	1.0
CCPz	-90.0	78.75	1	0.0	-0.1951	0.9808
CPz	-90.0	67.5	1	0.0	-0.3827	0.9239
CPPz	-90.0	56.25	1	0.0	-0.5556	0.8315
Pz	-90.0	45.0	1	0.0	-0.7071	0.7071
PPOz	-90.0	33.75	1	0.0	-0.8315	0.5556
POz	-90.0	22.5	1	0.0	-0.9239	0.3827
POOz	-90.0	11.25	1	0.0	-0.9808	0.1951
Oz	-90.0	0.0	1	0.0	-1.0	0.0
OIz	-90.0	-11.25	1	0.0	-0.9808	-0.1951
Iz	-90.0	-22.5	1	0.0	-0.9239	-0.3827
N1h	99.0	-22.5	1	-0.1445	0.9125	-0.3827
N1	108.0	-22.5	1	-0.2855	0.8787	-0.3827
AFp9	117.0	-22.5	1	-0.4194	0.8232	-0.3827
AF9	126.0	-22.5	1	-0.543	0.7474	-0.3827
AFF9	135.0	-22.5	1	-0.6533	0.6533	-0.3827
F9	144.0	-22.5	1	-0.7474	0.543	-0.3827
FFT9	153.0	-22.5	1	-0.8232	0.4194	-0.3827
FT9	162.0	-22.5	1	-0.8787	0.2855	-0.3827
FTT9	171.0	-22.5	1	-0.9125	0.1445	-0.3827
T9	180.0	-22.5	1	-0.9239	0.0	-0.3827
TTP9	-171.0	-22.5	1	-0.9125	-0.1445	-0.3827
TP9	-162.0	-22.5	1	-0.8787	-0.2855	-0.3827
TPP9	-153.0	-22.5	1	-0.8232	-0.4194	-0.3827
P9	-144.0	-22.5	1	-0.7474	-0.543	-0.3827
PPO9	-135.0	-22.5	1	-0.6533	-0.6533	-0.3827
PO9	-126.0	-22.5	1	-0.543	-0.7474	-0.3827
POO9	-117.0	-22.5	1	-0.4194	-0.8232	-0.3827
I1	-108.0	-22.5	1	-0.2855	-0.8787	-0.3827
I1h	-99.0	-22.5	1	-0.1445	-0.9125	-0.3827
NFp1h	99.0	-11.25	1	-0.1534	0.9687	-0.1951
