labels	X	Y	Z	PointType
Nz	128.900000	188.000000	234.000000	PointType.LANDMARK
Iz	132.000000	182.000000	25.900000	PointType.LANDMARK
RPA	217.100000	192.000000	128.000000	PointType.LANDMARK
LPA	45.900000	192.000000	131.000000	PointType.LANDMARK
Cz	129.000000	46.900000	133.000000	PointType.ELECTRODE
NFpz	128.000000	169.000000	236.100000	PointType.ELECTRODE
Fpz	129.000000	150.000000	235.100000	PointType.ELECTRODE
AFpz	129.000000	130.000000	234.100000	PointType.ELECTRODE
AFz	129.000000	110.151600	227.175800	PointType.ELECTRODE
AFFz	129.000000	94.151604	217.175800	PointType.ELECTRODE
Fz	129.000000	79.000000	204.100000	PointType.ELECTRODE
FFCz	129.000000	66.057901	188.260660	PointType.ELECTRODE
FCz	129.000000	56.900000	169.000000	PointType.ELECTRODE
FCCz	129.000000	51.000000	152.100000	PointType.ELECTRODE
CCPz	128.880940	44.474472	113.018110	PointType.ELECTRODE
CPz	130.487100	47.387095	94.051619	PointType.ELECTRODE
CPPz	131.000000	55.824198	74.151604	PointType.ELECTRODE
Pz	131.000000	67.361286	60.538714	PointType.ELECTRODE
PPOz	132.000000	84.000000	49.900000	PointType.ELECTRODE
POz	132.000000	101.748400	40.075802	PointType.ELECTRODE
POOz	132.000000	121.000000	32.900000	PointType.ELECTRODE
Oz	132.010000	141.106700	26.459659	PointType.ELECTRODE
OIz	132.000000	159.000000	24.900000	PointType.ELECTRODE
T9h	44.900000	173.000000	132.000000	PointType.ELECTRODE
T7	45.000000	153.000000	132.100000	PointType.ELECTRODE
T7h	45.900000	134.000000	132.000000	PointType.ELECTRODE
C5	47.900000	115.000000	132.000000	PointType.ELECTRODE
C5h	51.900000	98.000000	132.000000	PointType.ELECTRODE
C3	63.356140	81.543862	133.000000	PointType.ELECTRODE
C3h	75.515440	68.788420	132.403860	PointType.ELECTRODE
C1	93.900000	57.000000	133.000000	PointType.ELECTRODE
C1h	111.941520	50.414621	132.485380	PointType.ELECTRODE
C2h	148.000000	47.900000	132.000000	PointType.ELECTRODE
C2	165.647432	55.135574	131.000000	PointType.ELECTRODE
C4h	181.647432	65.135574	131.000000	PointType.ELECTRODE
C4	196.000000	78.900000	130.000000	PointType.ELECTRODE
C6h	206.998748	95.797496	129.550630	PointType.ELECTRODE
C6	212.472014	112.025410	129.000000	PointType.ELECTRODE
T8h	215.100000	132.000000	128.000000	PointType.ELECTRODE
T8	216.100000	151.000000	128.000000	PointType.ELECTRODE
T10h	218.000000	170.000000	128.100000	PointType.ELECTRODE
N1h	118.000000	189.000000	225.100000	PointType.ELECTRODE
N1	103.000000	189.000000	225.100000	PointType.ELECTRODE
AFp9	88.275160	190.416630	221.791780	PointType.ELECTRODE
AF9	79.464320	192.000000	211.103370	PointType.ELECTRODE
AFF9	71.000000	192.000000	199.100000	PointType.ELECTRODE
F9	60.000000	192.000000	190.100000	PointType.ELECTRODE
FFT9	49.975500	192.000000	177.151000	PointType.ELECTRODE
FT9	45.494580	192.000000	164.972900	PointType.ELECTRODE
FTT9	44.900000	192.000000	149.932760	PointType.ELECTRODE
TTP9	43.910850	191.064870	116.243300	PointType.ELECTRODE
TP9	40.900000	191.000000	100.932760	PointType.ELECTRODE
TPP9	46.218140	189.430000	88.962857	PointType.ELECTRODE
P9	53.900000	189.000000	75.000000	PointType.ELECTRODE
PPO9	63.140350	188.000000	61.346207	PointType.ELECTRODE
PO9	71.527420	187.130530	48.562105	PointType.ELECTRODE
POO9	85.000000	185.000000	38.900000	PointType.ELECTRODE
I1	98.749000	184.000000	31.075501	PointType.ELECTRODE
I1h	115.000000	183.000000	27.900000	PointType.ELECTRODE
N2h	141.787440	189.177910	226.134650	PointType.ELECTRODE
N2	155.066910	189.000000	223.100000	PointType.ELECTRODE
AFp10	170.026771	190.000000	222.694650	PointType.ELECTRODE
AF10	183.000000	192.000000	214.100000	PointType.ELECTRODE
AFF10	190.461525	192.000000	200.638470	PointType.ELECTRODE
F10	202.461525	192.000000	188.638470	PointType.ELECTRODE
FFT10	212.100000	192.000000	176.000000	PointType.ELECTRODE
FT10	217.505354	192.000000	161.973230	PointType.ELECTRODE
FTT10	218.466088	191.959320	146.966180	PointType.ELECTRODE
TTP10	219.000000	191.000000	115.100000	PointType.ELECTRODE
TP10	221.051037	190.510370	99.992519	PointType.ELECTRODE
TPP10	214.100000	190.000000	86.000000	PointType.ELECTRODE
P10	205.197927	188.548960	73.195854	PointType.ELECTRODE
PPO10	198.100000	188.000000	59.000000	PointType.ELECTRODE
PO10	190.100000	186.000000	48.000000	PointType.ELECTRODE
POO10	177.103691	185.000000	38.464405	PointType.ELECTRODE
I2	163.100000	184.000000	31.000000	PointType.ELECTRODE
I2h	147.973230	182.594650	26.900000	PointType.ELECTRODE
NFp1h	114.000000	169.000000	235.100000	PointType.ELECTRODE
NFp1	99.157670	171.000000	231.178830	PointType.ELECTRODE
AFp9h	85.000000	172.000000	225.100000	PointType.ELECTRODE
AF9h	74.000000	173.000000	217.100000	PointType.ELECTRODE
AFF9h	65.978830	173.000000	203.157670	PointType.ELECTRODE
F9h	58.764120	173.000000	191.452170	PointType.ELECTRODE
