sourceIndex	detectorIndex	wavelengthIndex	source	detector	channel	wavelength
9	86	0	S10	D87	S10D87	760.0
9	93	0	S10	D94	S10D94	760.0
9	88	0	S10	D89	S10D89	760.0
9	91	0	S10	D92	S10D92	760.0
8	93	0	S9	D94	S9D94	760.0
8	140	0	S9	D141	S9D141	760.0
8	95	0	S9	D96	S9D96	760.0
8	138	0	S9	D139	S9D139	760.0
7	140	0	S8	D141	S8D141	760.0
7	142	0	S8	D143	S8D143	760.0
7	32	0	S8	D33	S8D33	760.0
6	65	0	S7	D66	S7D66	760.0
6	32	0	S7	D33	S7D33	760.0
6	36	0	S7	D37	S7D37	760.0
6	39	0	S7	D40	S7D40	760.0
5	65	0	S6	D66	S6D66	760.0
5	0	0	S6	D1	S6D1	760.0
5	67	0	S6	D68	S6D68	760.0
5	70	0	S6	D71	S6D71	760.0
25	0	0	S26	D1	S26D1	760.0
25	7	0	S26	D8	S26D8	760.0
25	2	0	S26	D3	S26D3	760.0
25	5	0	S26	D6	S26D6	760.0
24	7	0	S25	D8	S25D8	760.0
24	14	0	S25	D15	S25D15	760.0
24	9	0	S25	D10	S25D10	760.0
24	12	0	S25	D13	S25D13	760.0
12	84	0	S13	D85	S13D85	760.0
12	88	0	S13	D89	S13D89	760.0
12	82	0	S13	D83	S13D83	760.0
12	89	0	S13	D90	S13D90	760.0
12	83	0	S13	D84	S13D84	760.0
12	87	0	S13	D88	S13D88	760.0
11	91	0	S12	D92	S12D92	760.0
11	95	0	S12	D96	S12D96	760.0
11	136	0	S12	D137	S12D137	760.0
11	90	0	S12	D91	S12D91	760.0
11	94	0	S12	D95	S12D95	760.0
4	138	0	S5	D139	S5D139	760.0
4	142	0	S5	D143	S5D143	760.0
4	143	0	S5	D144	S5D144	760.0
4	137	0	S5	D138	S5D138	760.0
4	141	0	S5	D142	S5D142	760.0
3	32	0	S4	D33	S4D33	760.0
3	36	0	S4	D37	S4D37	760.0
3	143	0	S4	D144	S4D144	760.0
3	38	0	S4	D39	S4D39	760.0
3	33	0	S4	D34	S4D34	760.0
3	37	0	S4	D38	S4D38	760.0
2	39	0	S3	D40	S3D40	760.0
2	67	0	S3	D68	S3D68	760.0
2	38	0	S3	D39	S3D39	760.0
2	69	0	S3	D70	S3D70	760.0
2	64	0	S3	D65	S3D65	760.0
2	68	0	S3	D69	S3D69	760.0
28	70	0	S29	D71	S29D71	760.0
28	2	0	S29	D3	S29D3	760.0
28	69	0	S29	D70	S29D70	760.0
28	4	0	S29	D5	S29D5	760.0
28	71	0	S29	D72	S29D72	760.0
28	3	0	S29	D4	S29D4	760.0
26	5	0	S27	D6	S27D6	760.0
26	9	0	S27	D10	S27D10	760.0
26	4	0	S27	D5	S27D5	760.0
26	11	0	S27	D12	S27D12	760.0
26	6	0	S27	D7	S27D7	760.0
26	10	0	S27	D11	S27D11	760.0
27	12	0	S28	D13	S28D13	760.0
27	11	0	S28	D12	S28D12	760.0
27	13	0	S28	D14	S28D14	760.0
15	80	0	S16	D81	S16D81	760.0
15	83	0	S16	D84	S16D84	760.0
15	85	0	S16	D86	S16D86	760.0
14	87	0	S15	D88	S15D88	760.0
14	85	0	S15	D86	S15D86	760.0
14	92	0	S15	D93	S15D93	760.0
13	94	0	S14	D95	S14D95	760.0
13	137	0	S14	D138	S14D138	760.0
13	92	0	S14	D93	S14D93	760.0
13	139	0	S14	D140	S14D140	760.0
1	141	0	S2	D142	S2D142	760.0
1	33	0	S2	D34	S2D34	760.0
1	139	0	S2	D140	S2D140	760.0
1	35	0	S2	D36	S2D36	760.0
0	37	0	S1	D38	S1D38	760.0
0	64	0	S1	D65	S1D65	760.0
0	35	0	S1	D36	S1D36	760.0
0	66	0	S1	D67	S1D67	760.0
31	68	0	S32	D69	S32D69	760.0
31	71	0	S32	D72	S32D72	760.0
31	66	0	S32	D67	S32D67	760.0
31	1	0	S32	D2	S32D2	760.0
30	3	0	S31	D4	S31D4	760.0
30	6	0	S31	D7	S31D7	760.0
30	1	0	S31	D2	S31D2	760.0
30	8	0	S31	D9	S31D9	760.0
29	10	0	S30	D11	S30D11	760.0
29	13	0	S30	D14	S30D14	760.0
29	8	0	S30	D9	S30D9	760.0
6	34	0	S7	D35	S7D35	760.0
2	70	0	S3	D71	S3D71	760.0
2	65	0	S3	D66	S3D66	760.0
2	71	0	S3	D72	S3D72	760.0
2	66	0	S3	D67	S3D67	760.0
3	34	0	S4	D35	S4D35	760.0
3	39	0	S4	D40	S4D40	760.0
3	64	0	S4	D65	S4D65	760.0
3	35	0	S4	D36	S4D36	760.0
28	0	0	S29	D1	S29D1	760.0
28	68	0	S29	D69	S29D69	760.0
28	1	0	S29	D2	S29D2	760.0
28	6	0	S29	D7	S29D7	760.0
28	5	0	S29	D6	S29D6	760.0
26	7	0	S27	D8	S27D8	760.0
26	3	0	S27	D4	S27D4	760.0
26	8	0	S27	D9	S27D9	760.0
26	13	0	S27	D14	S27D14	760.0
26	12	0	S27	D13	S27D13	760.0
27	14	0	S28	D15	S28D15	760.0
27	10	0	S28	D11	S28D11	760.0
24	5	0	S25	D6	S25D6	760.0
29	6	0	S30	D7	S30D7	760.0
30	10	0	S31	D11	S31D11	760.0
30	71	0	S31	D72	S31D72	760.0
31	3	0	S32	D4	S32D4	760.0
31	64	0	S32	D65	S32D65	760.0
5	39	0	S6	D40	S6D40	760.0
25	70	0	S26	D71	S26D71	760.0
0	68	0	S1	D69	S1D69	760.0
0	33	0	S1	D34	S1D34	760.0
7	34	0	S8	D35	S8D35	760.0
7	138	0	S8	D139	S8D139	760.0
1	137	0	S2	D138	S2D138	760.0
4	140	0	S5	D141	S5D141	760.0
4	32	0	S5	D33	S5D33	760.0
4	33	0	S5	D34	S5D34	760.0
4	139	0	S5	D140	S5D140	760.0
8	91	0	S9	D92	S9D92	760.0
13	90	0	S14	D91	S14D91	760.0
11	93	0	S12	D94	S12D94	760.0
11	138	0	S12	D139	S12D139	760.0
11	137	0	S12	D138	S12D138	760.0
11	92	0	S12	D93	S12D93	760.0
9	84	0	S10	D85	S10D85	760.0
14	90	0	S15	D91	S15D91	760.0
14	83	0	S15	D84	S15D84	760.0
12	86	0	S13	D87	S13D87	760.0
12	91	0	S13	D92	S13D92	760.0
12	90	0	S13	D91	S13D91	760.0
12	85	0	S13	D86	S13D86	760.0
12	80	0	S13	D81	S13D81	760.0
9	89	0	S10	D90	S10D90	760.0
9	95	0	S10	D96	S10D96	760.0
11	89	0	S12	D90	S12D90	760.0
11	88	0	S12	D89	S12D89	760.0
11	87	0	S12	D88	S12D88	760.0
14	94	0	S15	D95	S15D95	760.0
14	89	0	S15	D90	S15D90	760.0
15	82	0	S16	D83	S16D83	760.0
15	87	0	S16	D88	S16D88	760.0
8	142	0	S9	D143	S9D143	760.0
8	136	0	S9	D137	S9D137	760.0
13	136	0	S14	D137	S14D137	760.0
13	141	0	S14	D142	S14D142	760.0
4	95	0	S5	D96	S5D96	760.0
4	94	0	S5	D95	S5D95	760.0
7	143	0	S8	D144	S8D144	760.0
7	36	0	S8	D37	S8D37	760.0
1	143	0	S2	D144	S2D144	760.0
1	37	0	S2	D38	S2D38	760.0
3	141	0	S4	D142	S4D142	760.0
3	142	0	S4	D143	S4D143	760.0
6	38	0	S7	D39	S7D39	760.0
6	67	0	S7	D68	S7D68	760.0
0	38	0	S1	D39	S1D39	760.0
2	36	0	S3	D37	S3D37	760.0
2	37	0	S3	D38	S3D38	760.0
5	2	0	S6	D3	S6D3	760.0
5	69	0	S6	D70	S6D70	760.0
31	69	0	S32	D70	S32D70	760.0
28	67	0	S29	D68	S29D68	760.0
25	4	0	S26	D5	S26D5	760.0
25	9	0	S26	D10	S26D10	760.0
30	4	0	S31	D5	S31D5	760.0
26	2	0	S27	D3	S27D3	760.0
24	11	0	S25	D12	S25D12	760.0
29	11	0	S30	D12	S30D12	760.0
27	9	0	S28	D10	S28D10	760.0
10	86	0	S11	D87	S11D87	760.0
10	84	0	S11	D85	S11D85	760.0
10	88	0	S11	D89	S11D89	760.0
10	82	0	S11	D83	S11D83	760.0
10	81	0	S11	D82	S11D82	760.0
27	40	0	S28	D41	S28D41	760.0
39	14	0	S40	D15	S40D15	760.0
39	40	0	S40	D41	S40D41	760.0
39	43	0	S40	D44	S40D44	760.0
39	45	0	S40	D46	S40D46	760.0
39	47	0	S40	D48	S40D48	760.0
33	46	0	S34	D47	S34D47	760.0
33	56	0	S34	D57	S34D57	760.0
38	45	0	S39	D46	S39D46	760.0
38	47	0	S39	D48	S39D48	760.0
27	41	0	S28	D42	S28D42	760.0
36	43	0	S37	D44	S37D44	760.0
36	44	0	S37	D45	S37D45	760.0
36	47	0	S37	D48	S37D48	760.0
36	56	0	S37	D57	S37D57	760.0
36	57	0	S37	D58	S37D58	760.0
27	42	0	S28	D43	S28D43	760.0
36	42	0	S37	D43	S37D43	760.0
29	15	0	S30	D16	S30D16	760.0
34	44	0	S35	D45	S35D45	760.0
34	46	0	S35	D47	S35D47	760.0
34	41	0	S35	D42	S35D42	760.0
34	15	0	S35	D16	S35D16	760.0
38	60	0	S39	D61	S39D61	760.0
38	58	0	S39	D59	S39D59	760.0
38	62	0	S39	D63	S39D63	760.0
33	59	0	S34	D60	S34D60	760.0
33	61	0	S34	D62	S34D62	760.0
35	47	0	S36	D48	S36D48	760.0
35	57	0	S36	D58	S36D58	760.0
35	58	0	S36	D59	S36D59	760.0
35	62	0	S36	D63	S36D63	760.0
35	59	0	S36	D60	S36D60	760.0
35	61	0	S36	D62	S36D62	760.0
35	63	0	S36	D64	S36D64	760.0
35	48	0	S36	D49	S36D49	760.0
37	60	0	S38	D61	S38D61	760.0
37	62	0	S38	D63	S38D63	760.0
32	59	0	S33	D60	S33D60	760.0
32	61	0	S33	D62	S33D62	760.0
32	63	0	S33	D64	S33D64	760.0
32	48	0	S33	D49	S33D49	760.0
37	49	0	S38	D50	S38D50	760.0
32	50	0	S33	D51	S33D51	760.0
37	24	0	S38	D25	S38D25	760.0
32	51	0	S33	D52	S33D52	760.0
42	48	0	S43	D49	S43D49	760.0
42	49	0	S43	D50	S43D50	760.0
42	50	0	S43	D51	S43D51	760.0
42	52	0	S43	D53	S43D53	760.0
42	53	0	S43	D54	S43D54	760.0
42	55	0	S43	D56	S43D56	760.0
41	51	0	S42	D52	S42D52	760.0
41	53	0	S42	D54	S42D54	760.0
44	24	0	S45	D25	S45D25	760.0
44	52	0	S45	D53	S45D53	760.0
44	112	0	S45	D113	S45D113	760.0
41	54	0	S42	D55	S42D55	760.0
44	114	0	S45	D115	S45D115	760.0
41	113	0	S42	D114	S42D114	760.0
44	116	0	S45	D117	S45D117	760.0
43	55	0	S44	D56	S44D56	760.0
43	112	0	S44	D113	S44D113	760.0
43	54	0	S44	D55	S44D55	760.0
43	113	0	S44	D114	S44D114	760.0
43	116	0	S44	D117	S44D117	760.0
43	115	0	S44	D116	S44D116	760.0
43	117	0	S44	D118	S44D118	760.0
17	114	0	S18	D115	S18D115	760.0
17	116	0	S18	D117	S18D117	760.0
40	113	0	S41	D114	S41D114	760.0
40	115	0	S41	D116	S41D116	760.0
40	117	0	S41	D118	S41D118	760.0
17	119	0	S18	D120	S18D120	760.0
17	73	0	S18	D74	S18D74	760.0
40	72	0	S41	D73	S41D73	760.0
40	118	0	S41	D119	S41D119	760.0
17	75	0	S18	D76	S18D76	760.0
40	74	0	S41	D75	S41D75	760.0
20	116	0	S21	D117	S21D117	760.0
20	117	0	S21	D118	S21D118	760.0
20	119	0	S21	D120	S21D120	760.0
20	72	0	S21	D73	S21D73	760.0
20	118	0	S21	D119	S21D119	760.0
20	75	0	S21	D76	S21D76	760.0
20	74	0	S21	D75	S21D75	760.0
23	72	0	S24	D73	S24D73	760.0
23	74	0	S24	D75	S24D75	760.0
20	76	0	S21	D77	S21D77	760.0
23	76	0	S24	D77	S24D77	760.0
18	73	0	S19	D74	S19D74	760.0
18	75	0	S19	D76	S19D76	760.0
18	78	0	S19	D79	S19D79	760.0
23	79	0	S24	D80	S24D80	760.0
18	96	0	S19	D97	S19D97	760.0
21	76	0	S22	D77	S22D77	760.0
21	78	0	S22	D79	S22D79	760.0
21	79	0	S22	D80	S22D80	760.0
10	103	0	S11	D104	S11D104	760.0
23	77	0	S24	D78	S24D78	760.0
21	77	0	S22	D78	S22D78	760.0
21	97	0	S22	D98	S22D98	760.0
16	96	0	S17	D97	S17D97	760.0
16	103	0	S17	D104	S17D104	760.0
22	79	0	S23	D80	S23D80	760.0
22	97	0	S23	D98	S23D98	760.0
19	82	0	S20	D83	S20D83	760.0
19	81	0	S20	D82	S20D82	760.0
19	80	0	S20	D81	S20D81	760.0
19	103	0	S20	D104	S20D104	760.0
21	99	0	S22	D100	S22D100	760.0
19	99	0	S20	D100	S20D100	760.0
15	102	0	S16	D103	S16D103	760.0
22	102	0	S23	D103	S23D103	760.0
19	102	0	S20	D103	S20D103	760.0
22	100	0	S23	D101	S23D101	760.0
19	100	0	S20	D101	S20D101	760.0
18	98	0	S19	D99	S19D99	760.0
21	98	0	S22	D99	S22D99	760.0
16	98	0	S17	D99	S17D99	760.0
