labels	X	Y	Z	PointType
S1	109.446813	148.902240	233.159477	PointType.SOURCE
S2	150.175738	148.764400	233.139914	PointType.SOURCE
S3	93.243712	117.588339	220.827623	PointType.SOURCE
S4	130.754301	116.991635	230.393868	PointType.SOURCE
S5	168.639229	117.361157	220.359393	PointType.SOURCE
S6	87.666432	90.390402	195.271233	PointType.SOURCE
S7	114.772285	88.210177	210.926499	PointType.SOURCE
S8	146.729265	88.466776	209.153028	PointType.SOURCE
S9	174.313531	89.457890	193.140619	PointType.SOURCE
S10	193.443549	91.724151	166.461814	PointType.SOURCE
S11	203.388696	91.103271	135.631932	PointType.SOURCE
S12	194.760902	119.418564	191.061318	PointType.SOURCE
S13	211.702118	122.209846	156.122021	PointType.SOURCE
S14	186.932295	149.791218	214.519698	PointType.SOURCE
S15	206.487378	152.643976	177.627637	PointType.SOURCE
S16	215.459471	154.199812	136.847459	PointType.SOURCE
S17	201.227072	89.780133	102.930857	PointType.SOURCE
S18	159.725942	83.265900	55.235202	PointType.SOURCE
S19	186.538781	86.005032	73.983134	PointType.SOURCE
S20	214.524880	122.079401	117.262486	PointType.SOURCE
S21	181.347171	115.062741	49.053550	PointType.SOURCE
S22	204.251560	119.205072	80.294557	PointType.SOURCE
S23	215.938849	152.320675	94.570931	PointType.SOURCE
S24	194.780886	147.736964	56.583949	PointType.SOURCE
S25	56.923257	91.385899	139.762548	PointType.SOURCE
S26	68.556266	92.267251	169.101564	PointType.SOURCE
S27	49.063912	122.593825	160.320570	PointType.SOURCE
S28	45.644897	122.501032	122.533724	PointType.SOURCE
S29	65.906533	120.058104	193.923882	PointType.SOURCE
S30	46.547743	154.911471	141.479274	PointType.SOURCE
S31	52.365870	153.320095	182.021833	PointType.SOURCE
S32	74.023731	150.240122	216.322546	PointType.SOURCE
S33	87.521692	146.957473	36.483304	PointType.SOURCE
S34	60.596007	150.668510	65.888363	PointType.SOURCE
S35	44.549199	153.122159	101.940889	PointType.SOURCE
S36	73.698835	116.765317	54.606601	PointType.SOURCE
S37	52.273920	119.909717	85.542262	PointType.SOURCE
S38	94.016066	83.938187	56.127468	PointType.SOURCE
S39	68.679537	86.154573	77.247440	PointType.SOURCE
S40	56.182840	89.347092	107.269325	PointType.SOURCE
S41	163.986716	145.514789	33.665390	PointType.SOURCE
S42	125.790719	144.192786	27.177652	PointType.SOURCE
S43	107.218141	114.317617	38.081797	PointType.SOURCE
S44	145.015859	113.725278	37.306300	PointType.SOURCE
S45	126.617793	83.233498	50.029612	PointType.SOURCE
S46	179.239349	63.430779	103.589251	PointType.SOURCE
S47	132.963854	58.730946	73.298550	PointType.SOURCE
S48	145.136781	48.135610	104.042697	PointType.SOURCE
S49	117.331538	47.096504	102.221424	PointType.SOURCE
S50	82.090215	61.906248	96.004403	PointType.SOURCE
S51	142.356367	51.929076	150.203921	PointType.SOURCE
S52	176.966646	67.636547	149.965424	PointType.SOURCE
S53	80.578324	68.757701	141.932366	PointType.SOURCE
S54	146.890025	66.493861	184.756745	PointType.SOURCE
S55	115.118011	53.572222	147.736330	PointType.SOURCE
S56	105.550475	66.135981	180.484345	PointType.SOURCE
D1	76.277791	91.207734	183.481363	PointType.DETECTOR
D2	62.063546	151.752907	199.722014	PointType.DETECTOR
D3	64.405016	106.040884	182.583499	PointType.DETECTOR
D4	56.996402	136.609253	189.666665	PointType.DETECTOR
D5	54.638770	121.303434	178.485639	PointType.DETECTOR
D6	55.510113	106.195982	166.932137	PointType.DETECTOR
D7	49.496954	138.217836	171.214010	PointType.DETECTOR
D8	61.529869	91.825881	154.932970	PointType.DETECTOR
D9	47.675451	154.612318	162.127657	PointType.DETECTOR
D10	50.921218	106.954482	149.656911	PointType.DETECTOR
D11	47.646594	139.193926	151.570618	PointType.DETECTOR
D12	46.307695	122.967315	141.556818	PointType.DETECTOR
D13	48.239591	106.704552	131.934905	PointType.DETECTOR
D14	44.625533	138.939450	132.071671	PointType.DETECTOR
D15	54.503432	90.556197	123.432584	PointType.DETECTOR
D16	43.404129	154.306780	122.343546	PointType.DETECTOR
D17	89.081538	77.435695	181.397277	PointType.DETECTOR
D18	74.421294	78.922121	157.549061	PointType.DETECTOR
D19	66.655646	78.644443	131.019730	PointType.DETECTOR
D20	90.248663	68.641116	162.506089	PointType.DETECTOR
D21	106.165638	59.527418	162.443059	PointType.DETECTOR
D22	97.830779	60.848870	147.136973	PointType.DETECTOR
D23	90.267779	59.125233	129.191769	PointType.DETECTOR
D24	107.019928	52.103510	132.387150	PointType.DETECTOR
D25	109.900196	83.373014	51.084540	PointType.DETECTOR
D26	98.722479	60.056727	77.850402	PointType.DETECTOR
D27	81.024684	72.056660	78.890532	PointType.DETECTOR
D28	67.607147	75.666619	103.668725	PointType.DETECTOR
D29	99.836349	53.087066	96.503914	PointType.DETECTOR
D30	89.599969	56.069752	111.931346	PointType.DETECTOR
D31	75.459617	66.089321	118.767085	PointType.DETECTOR
D32	108.535173	49.898335	117.179356	PointType.DETECTOR
D33	140.005139	102.214540	222.671572	PointType.DETECTOR
D34	140.402109	132.675368	233.199709	PointType.DETECTOR
D35	130.673117	88.342773	212.046947	PointType.DETECTOR
D36	129.000000	150.000000	235.100000	PointType.DETECTOR
D37	121.753167	102.425121	222.672533	PointType.DETECTOR
D38	120.364397	133.006053	233.987620	PointType.DETECTOR
D39	111.217756	116.846262	228.589883	PointType.DETECTOR
D40	104.061775	102.152491	217.966620	PointType.DETECTOR
D41	47.577744	105.660368	113.872368	PointType.DETECTOR
D42	43.059807	137.717183	112.289088	PointType.DETECTOR
D43	45.889108	121.087080	103.468116	PointType.DETECTOR
D44	51.965771	104.543680	96.359358	PointType.DETECTOR
D45	46.574007	136.654964	92.782063	PointType.DETECTOR
D46	61.343015	88.075869	91.818838	PointType.DETECTOR
D47	52.200973	151.940477	82.732704	PointType.DETECTOR
D48	59.096584	103.315281	79.949679	PointType.DETECTOR
D49	89.618519	115.357395	44.885178	PointType.DETECTOR
D50	99.555265	99.235948	46.011926	PointType.DETECTOR
D51	96.746768	130.383866	35.617575	PointType.DETECTOR
D52	105.875901	145.798024	29.230632	PointType.DETECTOR
D53	117.460998	99.398015	43.824760	PointType.DETECTOR
D54	115.403922	129.259204	31.182429	PointType.DETECTOR
D55	136.137926	128.089057	30.094054	PointType.DETECTOR
D56	126.064302	113.925667	36.393550	PointType.DETECTOR
D57	56.670887	135.621682	75.823225	PointType.DETECTOR
D58	62.627797	118.623639	70.099916	PointType.DETECTOR
D59	70.297956	101.808408	65.902369	PointType.DETECTOR
D60	66.060652	134.189742	58.269592	PointType.DETECTOR
D61	80.023223	85.015609	65.232904	PointType.DETECTOR
D62	72.133365	149.220695	49.178153	PointType.DETECTOR
D63	83.416756	100.398610	53.872600	PointType.DETECTOR
D64	79.837015	132.464795	45.013890	PointType.DETECTOR
D65	101.042463	133.061344	228.046792	PointType.DETECTOR
D66	100.035470	88.660931	204.537252	PointType.DETECTOR
D67	91.472105	149.328741	226.536416	PointType.DETECTOR
D68	88.252896	103.157037	209.433032	PointType.DETECTOR
D69	83.447425	134.189767	219.298096	PointType.DETECTOR
D70	78.177457	118.870479	208.559306	PointType.DETECTOR
D71	76.537909	105.045196	195.661663	PointType.DETECTOR
D72	68.541137	135.001590	205.450219	PointType.DETECTOR
D73	182.732689	146.242488	43.038510	PointType.DETECTOR
D74	174.713944	85.147492	62.540322	PointType.DETECTOR
D75	188.837573	131.509932	52.777622	PointType.DETECTOR
D76	185.921031	100.509954	60.893769	PointType.DETECTOR
D77	195.225514	116.665607	63.485872	PointType.DETECTOR
D78	201.888849	133.949269	68.088445	PointType.DETECTOR
D79	197.454354	102.500899	74.846789	PointType.DETECTOR
D80	206.236978	150.014757	74.726988	PointType.DETECTOR
D81	215.189581	138.758505	126.577452	PointType.DETECTOR
D82	210.453268	106.989688	126.975854	PointType.DETECTOR
D83	212.066239	123.066028	136.238057	PointType.DETECTOR
D84	214.520065	138.698022	146.924539	PointType.DETECTOR
D85	208.723586	107.022924	145.143064	PointType.DETECTOR
D86	213.719218	153.239354	158.308810	PointType.DETECTOR
D87	200.448676	90.864524	151.933698	PointType.DETECTOR
D88	210.448044	137.736838	167.155531	PointType.DETECTOR
D89	205.606129	106.035982	163.382384	PointType.DETECTOR
D90	205.737726	121.175032	174.857052	PointType.DETECTOR
D91	202.517624	136.129914	185.993729	PointType.DETECTOR
D92	195.769031	105.848395	178.986332	PointType.DETECTOR
D93	198.091205	151.025951	196.402948	PointType.DETECTOR
D94	184.779155	90.726506	180.779648	PointType.DETECTOR
D95	191.499563	134.781062	202.555356	PointType.DETECTOR
D96	185.792383	104.566349	194.564587	PointType.DETECTOR
D97	196.574326	87.410829	87.320725	PointType.DETECTOR
D98	210.413864	136.893140	86.579368	PointType.DETECTOR
D99	205.334579	104.699594	91.606407	PointType.DETECTOR
D100	211.396499	120.868988	98.024102	PointType.DETECTOR
D101	217.428375	137.177512	106.223428	PointType.DETECTOR
D102	211.500748	105.091596	108.732162	PointType.DETECTOR
