labels	X	Y	Z	PointType
S1	129.000000	46.900000	133.000000	PointType.SOURCE
S2	129.507525	46.615941	108.991901	PointType.SOURCE
S3	128.362961	51.669016	85.059566	PointType.SOURCE
S4	125.903917	65.345213	63.324185	PointType.SOURCE
S5	124.314836	86.249760	49.005317	PointType.SOURCE
S6	123.219171	108.604570	38.307833	PointType.SOURCE
S7	122.363446	131.158984	30.284784	PointType.SOURCE
S8	121.718676	154.972232	26.932650	PointType.SOURCE
S9	128.772349	53.063844	156.818873	PointType.SOURCE
S10	126.530896	61.592103	179.833348	PointType.SOURCE
S11	121.491448	75.010167	199.642456	PointType.SOURCE
S12	114.034720	91.757385	213.998410	PointType.SOURCE
S13	104.044864	110.961409	223.078128	PointType.SOURCE
S14	94.794367	133.336443	225.837660	PointType.SOURCE
S15	86.339784	156.264365	225.992193	PointType.SOURCE
S16	81.769045	178.900191	220.549031	PointType.SOURCE
S17	149.804820	48.493980	121.844101	PointType.SOURCE
S18	149.174257	52.631321	146.418007	PointType.SOURCE
S19	148.018727	59.364969	170.820157	PointType.SOURCE
S20	144.271845	71.640130	192.780171	PointType.SOURCE
S21	137.643172	88.101817	210.788552	PointType.SOURCE
S22	128.420631	106.478876	225.164576	PointType.SOURCE
S23	117.785422	127.242544	233.257325	PointType.SOURCE
S24	108.688105	149.817431	232.086410	PointType.SOURCE
S25	100.751060	173.179701	231.708478	PointType.SOURCE
S26	96.010570	195.803257	223.848491	PointType.SOURCE
S27	149.396356	50.609069	96.706946	PointType.SOURCE
S28	146.906648	59.493644	73.776390	PointType.SOURCE
S29	144.404182	77.341441	55.707107	PointType.SOURCE
S30	143.987750	98.524449	42.695186	PointType.SOURCE
S31	143.687333	121.059371	33.660133	PointType.SOURCE
S32	142.732570	144.238334	27.644462	PointType.SOURCE
S33	140.787620	168.354875	26.924909	PointType.SOURCE
S34	168.192019	58.524158	134.442450	PointType.SOURCE
S35	168.668128	56.493649	109.589554	PointType.SOURCE
S36	167.696124	60.713913	86.064638	PointType.SOURCE
S37	163.518707	72.311083	66.177116	PointType.SOURCE
S38	163.556309	91.335399	52.024889	PointType.SOURCE
S39	164.009604	112.699735	42.633258	PointType.SOURCE
S40	163.699752	135.055513	33.836896	PointType.SOURCE
S41	161.919579	158.759410	30.080732	PointType.SOURCE
S42	167.553783	63.714011	158.580533	PointType.SOURCE
S43	165.138744	73.122362	181.925807	PointType.SOURCE
S44	159.998301	87.334340	202.513716	PointType.SOURCE
S45	152.450508	104.191916	220.527606	PointType.SOURCE
S46	142.516846	124.234966	232.729950	PointType.SOURCE
S47	131.933216	145.956021	235.658757	PointType.SOURCE
S48	122.378318	168.200589	236.435109	PointType.SOURCE
S49	117.113865	188.971662	225.741068	PointType.SOURCE
S50	184.652462	72.704292	145.295189	PointType.SOURCE
S51	183.241816	80.404178	167.841157	PointType.SOURCE
S52	179.548806	91.684154	189.092120	PointType.SOURCE
S53	185.850119	67.087810	121.790184	PointType.SOURCE
S54	173.673131	106.008118	208.731712	PointType.SOURCE
S55	165.707757	124.052982	224.844570	PointType.SOURCE
S56	155.023294	145.078177	231.628644	PointType.SOURCE
S57	145.026644	165.687180	235.141312	PointType.SOURCE
S58	135.426457	186.749679	232.198937	PointType.SOURCE
S59	199.239382	84.580558	131.757334	PointType.SOURCE
S60	199.683317	90.676073	152.849740	PointType.SOURCE
S61	196.818581	100.066093	173.440936	PointType.SOURCE
S62	191.008445	112.312987	192.449827	PointType.SOURCE
S63	184.844683	127.417290	210.598605	PointType.SOURCE
S64	175.959791	146.098916	221.440627	PointType.SOURCE
S65	167.338006	165.880526	230.415049	PointType.SOURCE
S66	153.693867	183.557652	223.719423	PointType.SOURCE
S67	209.124048	104.970188	134.295805	PointType.SOURCE
S68	209.900086	112.035976	155.224412	PointType.SOURCE
S69	205.592108	122.349052	174.523908	PointType.SOURCE
S70	199.509832	134.156863	192.325309	PointType.SOURCE
S71	192.399218	150.059590	206.593023	PointType.SOURCE
S72	186.893743	168.846334	218.319161	PointType.SOURCE
S73	173.992533	187.503108	221.605288	PointType.SOURCE
S74	214.823437	118.308568	113.108219	PointType.SOURCE
S75	213.966683	126.904158	134.568939	PointType.SOURCE
S76	213.950554	135.885958	155.132615	PointType.SOURCE
S77	208.763601	146.137940	173.498095	PointType.SOURCE
S78	203.395383	157.666071	186.329685	PointType.SOURCE
S79	197.793296	172.086684	197.910439	PointType.SOURCE
S80	187.985943	190.688174	204.953548	PointType.SOURCE
S81	217.851258	140.588946	114.058173	PointType.SOURCE
S82	215.618888	150.331687	135.214706	PointType.SOURCE
S83	213.221285	160.324248	155.926498	PointType.SOURCE
S84	209.896651	171.876850	176.836141	PointType.SOURCE
S85	201.965725	192.607166	189.873654	PointType.SOURCE
S86	215.614014	153.974360	94.346221	PointType.SOURCE
S87	218.387490	164.003795	115.237633	PointType.SOURCE
S88	215.851168	174.051545	136.453117	PointType.SOURCE
S89	216.308543	184.073471	157.693761	PointType.SOURCE
S90	185.373220	69.333761	97.466764	PointType.SOURCE
S91	182.399750	78.042564	76.126573	PointType.SOURCE
S92	198.435564	81.614843	109.136803	PointType.SOURCE
S93	197.476844	89.680777	88.200378	PointType.SOURCE
S94	190.563709	100.246499	67.512178	PointType.SOURCE
S95	208.522833	97.444368	114.025790	PointType.SOURCE
S96	207.821914	106.940612	93.341306	PointType.SOURCE
S97	211.820054	130.523849	92.939816	PointType.SOURCE
S98	108.962553	51.893985	131.135198	PointType.SOURCE
S99	109.427631	49.848702	108.166321	PointType.SOURCE
S100	109.274396	57.908324	153.752524	PointType.SOURCE
S101	107.171186	63.294608	176.399434	PointType.SOURCE
S102	107.980963	53.079747	84.629450	PointType.SOURCE
S103	105.341479	66.228589	64.498500	PointType.SOURCE
S104	100.714845	78.891982	194.476178	PointType.SOURCE
S105	92.990764	97.185168	207.225489	PointType.SOURCE
S106	82.181020	118.109715	213.794814	PointType.SOURCE
S107	74.388713	140.520271	213.552542	PointType.SOURCE
S108	69.376249	163.423638	210.733819	PointType.SOURCE
S109	72.139242	185.828575	202.043251	PointType.SOURCE
S110	104.638238	86.800875	51.437483	PointType.SOURCE
S111	103.130223	109.080301	42.274660	PointType.SOURCE
S112	101.783546	131.372352	33.757342	PointType.SOURCE
S113	101.985866	155.306260	30.746956	PointType.SOURCE
S114	89.334921	58.164643	128.753501	PointType.SOURCE
S115	88.944126	56.101230	103.801842	PointType.SOURCE
S116	90.701249	65.745411	151.380600	PointType.SOURCE
S117	88.302062	74.359175	174.517875	PointType.SOURCE
S118	80.652970	91.949953	189.648143	PointType.SOURCE
S119	70.580121	114.478659	196.482385	PointType.SOURCE
S120	61.009239	137.291990	197.570885	PointType.SOURCE
S121	58.445922	160.536025	193.804684	PointType.SOURCE
S122	57.430782	184.584391	189.729525	PointType.SOURCE
S123	87.833790	65.044878	79.693232	PointType.SOURCE
S124	85.235105	81.835281	63.066103	PointType.SOURCE
S125	84.302023	99.429459	53.848872	PointType.SOURCE
S126	82.887675	121.516852	45.649007	PointType.SOURCE
S127	83.370040	144.625791	40.145919	PointType.SOURCE
S128	72.836657	70.022882	126.348634	PointType.SOURCE
S129	73.223661	75.223459	148.872120	PointType.SOURCE
S130	72.602437	69.007893	103.665230	PointType.SOURCE
S131	70.994011	81.501510	81.188153	PointType.SOURCE
S132	68.013362	101.518427	66.006347	PointType.SOURCE
S133	67.760235	125.464645	59.122640	PointType.SOURCE
S134	68.883011	148.797697	53.467407	PointType.SOURCE
S135	71.041730	87.586011	168.093409	PointType.SOURCE
S136	63.611989	103.404448	178.050312	PointType.SOURCE
S137	54.721257	123.901581	178.982591	PointType.SOURCE
S138	50.089312	146.700320	176.823432	PointType.SOURCE
S139	49.419867	170.148217	173.487370	PointType.SOURCE
S140	59.679455	85.366548	125.350081	PointType.SOURCE
S141	59.681104	87.078709	102.296058	PointType.SOURCE
S142	57.710784	100.091786	87.164827	PointType.SOURCE
S143	56.766453	120.672376	79.236154	PointType.SOURCE
S144	57.084203	143.198469	72.017304	PointType.SOURCE
S145	58.473364	93.349530	148.511932	PointType.SOURCE
S146	52.735260	110.587177	158.858041	PointType.SOURCE
S147	47.431823	133.505816	157.340814	PointType.SOURCE
S148	47.581633	157.075935	154.700782	PointType.SOURCE
S149	46.745499	180.837489	152.248133	PointType.SOURCE
S150	45.191169	155.667274	133.822655	PointType.SOURCE
S151	45.774885	131.039172	136.787947	PointType.SOURCE
S152	48.627365	108.628756	138.268763	PointType.SOURCE
S153	48.641622	149.445098	90.968466	PointType.SOURCE
S154	46.292518	126.373620	95.934640	PointType.SOURCE
S155	48.439649	105.736468	105.626351	PointType.SOURCE
S156	42.692324	151.342266	113.576645	PointType.SOURCE
S157	44.179417	128.246210	116.208398	PointType.SOURCE
S158	179.678435	162.553135	40.315494	PointType.SOURCE
S159	181.747359	139.077273	44.027014	PointType.SOURCE
S160	182.572217	115.630266	50.094946	PointType.SOURCE
S161	196.005289	155.211766	56.181115	PointType.SOURCE
S162	196.570824	131.793237	60.361243	PointType.SOURCE
S163	206.866174	156.245581	74.900493	PointType.SOURCE
S164	201.397065	117.479936	74.600917	PointType.SOURCE
D1	129.053275	49.164628	145.100958	PointType.DETECTOR
D2	129.414843	46.552283	120.721693	PointType.DETECTOR
D3	118.440435	47.225729	126.623012	PointType.DETECTOR
D4	139.679794	46.461816	127.545801	PointType.DETECTOR
D5	118.725347	49.485797	138.227706	PointType.DETECTOR
D6	139.273951	48.602715	139.742070	PointType.DETECTOR
D7	129.050035	47.776951	96.126828	PointType.DETECTOR
D8	139.630091	47.934805	102.632584	PointType.DETECTOR
D9	139.671908	46.422921	114.887601	PointType.DETECTOR
D10	119.130744	47.641484	102.326636	PointType.DETECTOR
D11	119.200395	46.714260	114.550465	PointType.DETECTOR
D12	126.983216	57.434320	72.993726	PointType.DETECTOR
D13	118.718579	49.800874	90.221029	PointType.DETECTOR
D14	138.760816	50.201145	90.235659	PointType.DETECTOR
D15	117.485841	54.687530	78.693498	PointType.DETECTOR
D16	137.826679	54.527466	78.545198	PointType.DETECTOR
D17	116.310179	61.357426	68.413107	PointType.DETECTOR
D18	136.277639	62.076917	68.257294	PointType.DETECTOR
D19	115.294671	69.979902	59.276719	PointType.DETECTOR
D20	135.194486	71.349858	59.640822	PointType.DETECTOR
D21	124.962744	75.144114	55.028610	PointType.DETECTOR
D22	114.681794	80.315383	52.168997	PointType.DETECTOR
D23	134.448556	81.545552	52.122557	PointType.DETECTOR
D24	134.059278	92.877284	46.704642	PointType.DETECTOR
D25	114.146986	91.713650	47.185219	PointType.DETECTOR
D26	123.922827	97.574528	43.799836	PointType.DETECTOR
D27	113.343035	103.118824	41.614092	PointType.DETECTOR
D28	133.754845	103.451958	40.423604	PointType.DETECTOR
D29	133.460353	114.719133	35.618514	PointType.DETECTOR
D30	122.919371	120.093456	34.504617	PointType.DETECTOR
D31	112.918715	114.063891	38.165210	PointType.DETECTOR
D32	112.262437	125.685499	33.668057	PointType.DETECTOR
D33	133.070680	126.099865	31.796437	PointType.DETECTOR
D34	132.710789	137.676054	28.930273	PointType.DETECTOR
D35	121.982401	143.386028	27.558491	PointType.DETECTOR
D36	111.779796	136.984986	30.375147	PointType.DETECTOR
D37	111.718963	148.930055	28.618196	PointType.DETECTOR
D38	132.014910	149.312952	26.103590	PointType.DETECTOR
D39	131.459633	161.361238	25.545856	PointType.DETECTOR
D40	111.680698	160.947748	27.787308	PointType.DETECTOR
D41	121.357618	167.367448	26.011919	PointType.DETECTOR
D42	128.114158	56.094929	168.450724	PointType.DETECTOR
D43	139.222502	51.371676	151.997542	PointType.DETECTOR
D44	118.781334	52.691740	149.802775	PointType.DETECTOR
D45	118.694158	56.878221	160.738124	PointType.DETECTOR
D46	138.400004	55.495797	163.840324	PointType.DETECTOR
D47	117.218072	59.584237	172.821079	PointType.DETECTOR
D48	137.638867	59.516475	175.655606	PointType.DETECTOR
D49	116.019858	64.707638	182.960494	PointType.DETECTOR
D50	135.538444	65.697705	186.452059	PointType.DETECTOR
D51	125.008050	67.487831	189.592997	PointType.DETECTOR
D52	113.892620	71.227804	192.954731	PointType.DETECTOR
D53	133.436960	72.354221	196.871964	PointType.DETECTOR
D54	130.081140	80.685466	205.584570	PointType.DETECTOR
D55	118.423783	83.306180	206.467530	PointType.DETECTOR
D56	110.437592	78.539907	199.748051	PointType.DETECTOR
D57	126.245002	89.174736	213.618348	PointType.DETECTOR
D58	107.108400	86.220050	206.515834	PointType.DETECTOR
D59	121.357677	98.463543	220.430964	PointType.DETECTOR
D60	109.400016	101.108641	219.717645	PointType.DETECTOR
D61	103.275987	94.361464	212.374240	PointType.DETECTOR
D62	116.258042	108.284963	225.981164	PointType.DETECTOR
D63	98.005459	104.333882	217.481100	PointType.DETECTOR
D64	93.161305	114.665600	219.305921	PointType.DETECTOR
D65	98.785139	122.020673	226.715996	PointType.DETECTOR
D66	110.961983	119.297418	229.556992	PointType.DETECTOR
D67	105.940091	129.971940	230.724781	PointType.DETECTOR
D68	88.215951	125.528442	220.362565	PointType.DETECTOR
D69	84.054395	136.956127	220.017483	PointType.DETECTOR
D70	90.439553	144.688250	225.884048	PointType.DETECTOR
D71	101.760845	141.706335	229.441429	PointType.DETECTOR
D72	97.545888	153.255016	229.200394	PointType.DETECTOR
D73	80.077415	147.563479	219.527756	PointType.DETECTOR
D74	76.012689	159.627013	219.689441	PointType.DETECTOR
D75	92.699141	164.343073	230.797486	PointType.DETECTOR
D76	82.263530	167.624339	225.673334	PointType.DETECTOR
D77	90.930201	175.359977	226.232669	PointType.DETECTOR
D78	73.814915	170.995922	217.530504	PointType.DETECTOR
D79	75.152170	181.938333	212.260241	PointType.DETECTOR
D80	81.077470	190.817539	215.746086	PointType.DETECTOR
D81	88.873451	186.899747	222.860557	PointType.DETECTOR
D82	149.731066	48.657546	108.738767	PointType.DETECTOR
D83	149.528043	49.634470	133.817927	PointType.DETECTOR
D84	159.628503	51.693919	115.546634	PointType.DETECTOR
D85	158.929531	52.673793	127.751288	PointType.DETECTOR
D86	148.772119	55.510136	158.398704	PointType.DETECTOR
D87	159.020767	54.838986	140.389787	PointType.DETECTOR
D88	158.441158	57.519681	152.476600	PointType.DETECTOR
D89	158.097643	60.816505	164.802669	PointType.DETECTOR
D90	157.035845	64.859199	176.969482	PointType.DETECTOR
D91	146.584569	64.665693	181.998216	PointType.DETECTOR
D92	155.034777	71.938826	187.529617	PointType.DETECTOR
D93	152.513419	78.602335	198.167802	PointType.DETECTOR
D94	141.361462	79.382595	202.071547	PointType.DETECTOR
D95	133.374822	96.868958	218.441466	PointType.DETECTOR
D96	145.282473	95.261175	216.338681	PointType.DETECTOR
D97	149.245081	86.931165	207.507822	PointType.DETECTOR
D98	140.870783	104.879246	223.557292	PointType.DETECTOR
D99	135.477734	114.731064	229.313310	PointType.DETECTOR
D100	123.272713	116.328390	230.584488	PointType.DETECTOR
D101	130.445957	125.254257	233.294612	PointType.DETECTOR
D102	125.071906	136.559193	234.029551	PointType.DETECTOR
D103	113.110378	138.685390	233.486134	PointType.DETECTOR
D104	120.168865	147.764336	234.298287	PointType.DETECTOR
D105	115.291337	159.171563	235.146794	PointType.DETECTOR
D106	103.788453	161.606227	234.739256	PointType.DETECTOR
D107	111.165550	170.869787	235.728642	PointType.DETECTOR
D108	98.977181	183.706207	225.723316	PointType.DETECTOR
D109	109.319220	179.631690	226.725645	PointType.DETECTOR
D110	106.724455	191.991782	225.909627	PointType.DETECTOR
D111	148.476804	53.422045	84.256123	PointType.DETECTOR
D112	159.403680	54.474987	90.941608	PointType.DETECTOR
D113	159.336616	52.352526	102.922997	PointType.DETECTOR
D114	157.652072	58.068732	78.954076	PointType.DETECTOR
D115	145.518967	67.012848	63.207341	PointType.DETECTOR
D116	155.592593	65.392851	69.455114	PointType.DETECTOR
D117	154.110231	74.260403	60.475391	PointType.DETECTOR
D118	143.953262	87.834669	48.831962	PointType.DETECTOR
D119	153.521283	84.489321	53.349727	PointType.DETECTOR
D120	153.909998	94.675487	46.970982	PointType.DETECTOR
D121	153.885626	105.895697	42.761674	PointType.DETECTOR
D122	143.895333	109.833867	38.074953	PointType.DETECTOR
D123	153.996164	116.732318	37.606452	PointType.DETECTOR
D124	153.997988	127.760722	32.506980	PointType.DETECTOR
D125	143.373778	132.425749	29.546759	PointType.DETECTOR
D126	153.523395	139.303083	29.262929	PointType.DETECTOR
D127	152.370361	151.365895	28.817123	PointType.DETECTOR
D128	141.940635	156.194146	26.035237	PointType.DETECTOR
D129	151.346475	163.177452	27.526786	PointType.DETECTOR
D130	168.025057	60.294575	146.028308	PointType.DETECTOR
D131	176.639966	64.360700	139.874462	PointType.DETECTOR
D132	168.392624	56.767872	121.472307	PointType.DETECTOR
D133	177.037955	62.698801	128.046204	PointType.DETECTOR
D134	168.852961	57.005554	96.941761	PointType.DETECTOR
D135	177.264657	61.521259	115.591214	PointType.DETECTOR
D136	177.869201	61.474424	103.439496	PointType.DETECTOR
D137	166.083366	65.046681	74.733968	PointType.DETECTOR
D138	175.569820	68.712763	81.437531	PointType.DETECTOR
D139	176.770226	64.438569	91.708223	PointType.DETECTOR
D140	173.807535	73.593871	71.646701	PointType.DETECTOR
D141	162.574826	81.790468	58.304430	PointType.DETECTOR
D142	170.662482	79.955546	64.246801	PointType.DETECTOR
D143	172.828740	88.546662	58.247704	PointType.DETECTOR
D144	164.210513	101.493468	46.146022	PointType.DETECTOR
D145	173.483041	98.327290	52.846996	PointType.DETECTOR
D146	164.159581	123.508669	37.192299	PointType.DETECTOR
D147	174.362977	108.213756	47.491681	PointType.DETECTOR
D148	173.749642	119.617328	43.081036	PointType.DETECTOR
D149	173.052998	131.285917	40.012288	PointType.DETECTOR
D150	162.850429	146.913455	32.272614	PointType.DETECTOR
D151	172.869658	143.173984	36.606097	PointType.DETECTOR
D152	171.603977	154.509714	35.674897	PointType.DETECTOR
D153	169.896996	166.486553	34.803985	PointType.DETECTOR
D154	160.134713	170.762029	29.778484	PointType.DETECTOR
D155	176.858626	67.232533	152.163782	PointType.DETECTOR
D156	175.464437	71.626677	163.408706	PointType.DETECTOR
D157	166.592595	67.084375	169.948886	PointType.DETECTOR
D158	174.745097	76.015415	175.002250	PointType.DETECTOR
D159	172.324905	82.437918	185.459174	PointType.DETECTOR
D160	162.716460	79.995661	192.026748	PointType.DETECTOR
D161	169.966820	89.171752	195.985519	PointType.DETECTOR
D162	167.496131	95.888732	206.545584	PointType.DETECTOR
D163	156.763856	94.934602	212.051912	PointType.DETECTOR
D164	164.071843	104.169628	215.936978	PointType.DETECTOR
D165	158.857232	113.820696	222.309409	PointType.DETECTOR
D166	147.951492	113.319341	226.357674	PointType.DETECTOR
D167	154.616729	123.709673	228.043684	PointType.DETECTOR
D168	148.712908	134.182454	231.526739	PointType.DETECTOR
D169	137.397026	134.698687	234.440646	PointType.DETECTOR
D170	143.963721	144.766309	234.677289	PointType.DETECTOR
